study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB3291	SAMEA1695337	ERX157273	ERR181163	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181163/ERR181163.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR181163/LoVo_E2F7_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR181/ERR181163
PRJEB3291	SAMEA1695345	ERX157281	ERR181171	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181171/ERR181171.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR181171/LoVo_GMEB2_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR181/ERR181171
PRJEB3291	SAMEA1695334	ERX157282	ERR181172	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181172/ERR181172.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR181172/LoVo_GMEB2_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR181/ERR181172
PRJEB3291	SAMEA1695342	ERX157408	ERR181298	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/ERR181298/ERR181298.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR181/ERR181298/LoVo_GMEB2_Rabbit_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR181/ERR181298
PRJEB3291	SAMEA1695346	ERX159245	ERR183498	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183498/ERR183498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183498/LoVo_GRHL1_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183498
PRJEB3291	SAMEA1695346	ERX159246	ERR183499	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183499/ERR183499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183499/LoVo_GRHL1_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183499
PRJEB3291	SAMEA1695347	ERX159247	ERR183500	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183500/ERR183500.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183500/LoVo_HNF1A_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183500
PRJEB3291	SAMEA1695347	ERX159248	ERR183501	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183501/ERR183501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183501/LoVo_HNF1A_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183501
PRJEB3291	SAMEA1695347	ERX159249	ERR183502	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183502/ERR183502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183502/LoVo_HNF1A_Rabbit_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183502
PRJEB3291	SAMEA1695340	ERX159250	ERR183503	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183503/ERR183503.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183503/LoVo_HNF4A_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183503
PRJEB3291	SAMEA1695340	ERX159251	ERR183504	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183504/ERR183504.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183504/LoVo_HNF4A_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183504
PRJEB3291	SAMEA1695344	ERX159252	ERR183505	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183505/ERR183505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183505/LoVo_MAFG_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183505
PRJEB3291	SAMEA1695344	ERX159253	ERR183506	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183506/ERR183506.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183506/LoVo_MAFG_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183506
PRJEB3291	SAMEA1695344	ERX159254	ERR183507	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183507/ERR183507.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183507/LoVo_MAFG_Rabbit_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183507
PRJEB3291	SAMEA1695335	ERX159255	ERR183508	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183508/ERR183508.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183508/LoVo_MAFK_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183508
PRJEB3291	SAMEA1695335	ERX159256	ERR183509	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183509/ERR183509.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183509/LoVo_MAFK_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183509
PRJEB3291	SAMEA1695338	ERX159257	ERR183510	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183510/ERR183510.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183510/LoVo_TP53_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183510
PRJEB3291	SAMEA1695338	ERX159258	ERR183511	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183511/ERR183511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183511/LoVo_TP53_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183511
PRJEB3291	SAMEA1695338	ERX159259	ERR183512	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR183/ERR183512/ERR183512.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR183/ERR183512/LoVo_TP53_Rabbit_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR183/ERR183512
PRJEB3291	SAMEA1695341	ERX159396	ERR184010	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184010/ERR184010.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184010/LoVo_IgG_Rabbit_0_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184010
PRJEB3291	SAMEA1695341	ERX159397	ERR184011	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184011/ERR184011.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184011/GRHL1_MAFK_ChIP2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184011
PRJEB3291	SAMEA1695336	ERX159398	ERR184012	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184012/ERR184012.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184012/LoVo_IgG_Rabbit_0_5.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184012
PRJEB3291	SAMEA1695336	ERX159399	ERR184013	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184013/ERR184013.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184013/LoVo_IgG_Rabbit_1_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184013
PRJEB3291	SAMEA1695336	ERX159400	ERR184014	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184014/ERR184014.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184014/LoVo_IgG_Rabbit_2_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184014
PRJEB3291	SAMEA1695343	ERX159401	ERR184015	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184015/ERR184015.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184015/LoVo_IgG_Rabbit_0.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184015
PRJEB3291	SAMEA1695343	ERX159402	ERR184016	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184016/ERR184016.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184016/LoVo_IgG_Rabbit_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184016
PRJEB3291	SAMEA1695343	ERX159403	ERR184017	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184017/ERR184017.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184017/LoVo_IgG_Rabbit_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184017
PRJEB3291	SAMEA1695339	ERX159404	ERR184018	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184018/ERR184018.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184018/LoVo_IgG_Rabbit_0_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184018
PRJEB3291	SAMEA1695339	ERX159405	ERR184019	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184019/ERR184019.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184019/LoVo_IgG_Rabbit_1_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184019
PRJEB3291	SAMEA1695339	ERX159406	ERR184020	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR184/ERR184020/ERR184020.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR184/ERR184020/LoVo_IgG_Rabbit_2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR184/ERR184020
